รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
13,ปทุมธานี,7,นายพิษณุ พลธี,ภูมิใจไทย,46202,86075,121843,92139
13,ปทุมธานี,8,นางสาวพรพิมล ธรรมสาร,ภูมิใจไทย,42730,85346,122404,92701
14,พระนครศรีอยุธยา,1,นายทรงพล สุขสมบูรณ์,ภูมิใจไทย,46696,97550,140191,106326
14,พระนครศรีอยุธยา,2,นายนพ ชีวานันท์,ภูมิใจไทย,53474,94398,128589,102658
14,พระนครศรีอยุธยา,3,นางสาวพิมพฤดา ตันจรารักษ์,ภูมิใจไทย,58072,100331,136428,107866
14,พระนครศรีอยุธยา,4,นายคงกฤช รามศักดิ์,ภูมิใจไทย,51469,106913,139523,114346
14,พระนครศรีอยุธยา,5,นายปะดิธ สังขจาย,ภูมิใจไทย,46623,98383,133055,105917
15,อ่างทอง,1,นายภราดร ปริศนานันทกุล,ภูมิใจไทย,56130,79775,111666,85616
15,อ่างทอง,2,นายกรวีร์ ปริศนานันทกุล,ภูมิใจไทย,60611,79838,112384,86378
16,ลพบุรี,1,นายนรินทร์ คลังผา,ภูมิใจไทย,38126,100109,151712,110263
16,ลพบุรี,2,นางสาวมัลลิกา จิระพันธุ์วานิช,ภูมิใจไทย,58141,110045,149672,118851
16,ลพบุรี,3,นางสาวกาญจนาพร จิระพันธุ์วาณิช,ภูมิใจไทย,49264,99225,145648,105930
16,ลพบุรี,4,นายวรวงศ์ วรปัญญา,เพื่อไทย,50031,108277,149394,116195
17,สิงห์บุรี,1,นายโชติวุฒิ ธนาคมานุสรณ์,ภูมิใจไทย,65555,114708,167134,127309
18,ชัยนาท,1,นายอนุชา นาคาศัย,เพื่อไทย,36058,80770,132320,94469
18,ชัยนาท,2,นายมณเฑียร สงฆ์ประชา,ภูมิใจไทย,54585,84484,130196,95079
19,สระบุรี,1,นายขุนทอง แสนวิเศษ,ภูมิใจไทย,31958,88053,128124,98444
19,สระบุรี,2,นายอรรถพล วงษ์ประยูร,ภูมิใจไทย,37225,99146,136691,107815
19,สระบุรี,3,นายวัชรพงศ์ คูวิจิตรสุวรรณ,ภูมิใจไทย,53967,91451,125851,99297
19,สระบุรี,4,นายองอาจ วงษ์ประยูร,กล้าธรรม,48159,90067,128318,100197
20,ชลบุรี,1,นายสุชาติ ชมกลิ่น,ภูมิใจไทย,46253,97585,137328,104346
20,ชลบุรี,2,นางสาววรรณิดา นพสิทธิ์,ประชาชน,30061,78825,113941,84051
20,ชลบุรี,3,ร้อยตำรวจเอก สิทธิพัฒน์ ภาวสุทธิ์,ภูมิใจไทย,42501,90301,127143,98529
20,ชลบุรี,4,นายจิรวุฒิ สิงห์โตทอง,ภูมิใจไทย,45751,80770,120267,88809
20,ชลบุรี,5,นายอนันต์ ปรีดาสุทธิจิตต์,ภูมิใจไทย,52767,95514,134987,103979
20,ชลบุรี,6,นางนฤมาศ เปี่ยมบัณฑิต,ประชาชน,41248,89423,138584,96545
20,ชลบุรี,7,นายสหัสวัต คุมคง,ประชาชน,39986,82754,127875,88767
20,ชลบุรี,8,นายเชาวลิตร แสงอุทัย,ภูมิใจไทย,37623,86994,140456,94308
20,ชลบุรี,9,นายยอดชาย พึ่งพร,ประชาชน,27602,62409,122755,69180
20,ชลบุรี,10,นายธนาธาร ประมูลพงษ์,ประชาชน,27129,82457,134698,89099
21,ระยอง,1,นางสาวกมนทรรศน์ กิตติสุนทรสกุล,ประชาชน,36934,85091,121750,91421
21,ระยอง,2,นายกฤช ศิลปชัย,ประชาชน,33687,68551,116650,77741
21,ระยอง,3,นายพศิน ปิตุเตชะ,ประชาธิปัตย์,26873,76463,124375,85323
21,ระยอง,4,นายฉัตรชัย ปิตุเตชะ,ภูมิใจไทย,46134,87526,129478,94724
21,ระยอง,5,นายวัชรพงษ์ ศิริรักษ์,ประชาชน,37569,81289,129572,89547
22,จันทบุรี,1,พลตำรวจโท สุรพล วิรัตน์โยสินทร์,ภูมิใจไทย,32984,100866,148036,110531
22,จันทบุรี,2,นายคัมภีร์ ชื่นบาน,ภูมิใจไทย,39979,91807,142477,102880
22,จันทบุรี,3,นายชรัตน์ เนรัญชร,ภูมิใจไทย,31798,91176,142294,101001
23,ตราด,1,นายพิชานนท์ อิงประสาร,ภูมิใจไทย,66399,115576,176946,125215
24,ฉะเชิงเทรา,1,นางฐิติมา ฉายแสง,เพื่อไทย,38717,96004,146676,110016
24,ฉะเชิงเทรา,2,นายอรรถกร ศิริลัทธยากร,กล้าธรรม,50833,109828,142226,118518
24,ฉะเชิงเทรา,3,นายชัยวัฒน์ เป้าเปี่ยมทรัพย์,กล้าธรรม,52758,93753,145910,104600
24,ฉะเชิงเทรา,4,จ่าเอก ยศสิงห์ เหลี่ยมเลิศ,กล้าธรรม,47969,112107,154572,122283
25,ปราจีนบุรี,1,นายอำนาจ วิลาวัลย์,ภูมิใจไทย,42309,82923,129363,94811
25,ปราจีนบุรี,3,นายสฤษดิ์ บุตรเนียร,ภูมิใจไทย,45193,84347,132022,93849
26,นครนายก,1,นายปิยวัฒน์ กิตติธเนศวร,กล้าธรรม,33707,76781,104054,82830
26,นครนายก,2,นายเกรียงไกร กิตติธเนศวร,ภูมิใจไทย,34897,80797,108945,87699
27,สระแก้ว,1,นายบดี เทียนทอง,พลังประชารัฐ,56083,89613,147502,97584
27,สระแก้ว,2,นางสาวตรีนุช เทียนทอง,พลังประชารัฐ,60370,89351,145146,97464
27,สระแก้ว,3,นายสุรศักดิ์ ชิงนวรรณ์,กล้าธรรม,38812,92868,151072,101937
30,นครราชสีมา,1,นายฉัตร สุภัทรวณิชย์,ประชาชน,32534,80985,128270,90557
30,นครราชสีมา,2,นายวัชรพล โตมรศักดิ์,เพื่อไทย,39980,96710,141226,105850
30,นครราชสีมา,3,นายศุทธสิทธิ์ พจน์ฐศักดิ์,ประชาชน,37699,92622,136554,102530
30,นครราชสีมา,4,นางสาวณัฐจิรา อิ่มวิเศษ,เพื่อไทย,34719,84302,131759,93980
30,นครราชสีมา,5,นายสมเกียรติ ตันดิลกตระกูล,เพื่อไทย,38845,87644,133508,95129
30,นครราชสีมา,6,นางพัชราวรรณ ภิญโญ,เพื่อไทย,27973,81811,133507,85762
30,นครราชสีมา,7,นางสาวปิยะนุช ยินดีสุข,เพื่อไทย,40228,76958,136725,81993
30,นครราชสีมา,8,นายนิกร โสมกลาง,เพื่อไทย,51840,79521,133816,88226
30,นครราชสีมา,9,นายพลพีร์ สุวรรณฉวี,ภูมิใจไทย,41235,87655,135762,92485
30,นครราชสีมา,10,นายบุญจง วงศ์ไตรรัตน์,ภูมิใจไทย,43185,104308,138131,112031
30,นครราชสีมา,11,นายอาทิตย์ หวังศุภกิจโกศล,เพื่อไทย,53069,85016,132159,93602
30,นครราชสีมา,12,นายนรเสฏฐ์ ศิริโรจนกุล,เพื่อไทย,47794,86006,132388,94858
30,นครราชสีมา,13,นายพชร จันทรรวงทอง,เพื่อไทย,28157,66505,130106,78490
30,นครราชสีมา,14,นายหนึ่ง ขัติยะนนท์,ประชาชน,29003,73189,130744,83594
30,นครราชสีมา,15,นายรชตะ ด่านกุล,เพื่อไทย,37242,95199,138615,99862
30,นครราชสีมา,16,นายตติรัฐ รัตนเศรษฐ,ภูมิใจไทย,32139,83999,136002,89343
32,สุรินทร์,1,นางสาวเบญญา มุ่งเจริญพร,ภูมิใจไทย,46167,85981,136098,94060
32,สุรินทร์,2,นายณัฏฐพล จรัสรพีพงษ์,ภูมิใจไทย,53228,89433,140119,95003
32,สุรินทร์,3,นางสาวผกามาศ เจริญพันธ์,ภูมิใจไทย,50333,79639,137349,84655
32,สุรินทร์,4,นางสาวสุรีย์ ธัมมาตร,ภูมิใจไทย,44913,80530,139651,85085
32,สุรินทร์,5,นายภุชงค์ สุภัควรางกูร,ภูมิใจไทย,41671,79444,135454,82574
32,สุรินทร์,6,นายล้ำเลิศ พัวพัฒนโชติ,ภูมิใจไทย,52005,76550,133978,81526
32,สุรินทร์,7,นายเรืองวิทย์ คูณวัฒนาพงษ์,ภูมิใจไทย,43239,84840,136450,91439
32,สุรินทร์,8,นางปทิดา ตันติรัตนานนท์,ภูมิใจไทย,52673,78919,136843,85240
33,ศรีสะเกษ,1,นายสิริพงศ์ อังคสกุลเกียรติ,ภูมิใจไทย,53220,94666,132927,98770
33,ศรีสะเกษ,2,นายศุภกิจ สีหาภาค,ภูมิใจไทย,35712,80721,128729,85060
33,ศรีสะเกษ,3,นายธนา กิจไพบูลย์ชัย,ภูมิใจไทย,51942,76586,128022,82061
33,ศรีสะเกษ,4,นายชิตพล ไตรสรณกุล,ภูมิใจไทย,43534,77864,122479,82768
33,ศรีสะเกษ,5,นางสาวจินณ์ตวรรณ ไตรสรณกุล,ภูมิใจไทย,39108,79671,127679,85062
33,ศรีสะเกษ,6,นายวีระพล จิตสัมฤทธิ์,เพื่อไทย,31345,79063,128551,83911
33,ศรีสะเกษ,7,นางสาววิลดา อินฉัตร,เพื่อไทย,36190,78631,126857,84203
33,ศรีสะเกษ,8,นายอาสพลธ์ สรรณ์ไตรภพ,ภูมิใจไทย,59873,84175,133124,89354
33,ศรีสะเกษ,9,นายวิทวัส ไตรสรณกุล,ภูมิใจไทย,39667,88566,139255,93002
34,อุบลราชธานี,1,นายวรสิทธิ์ กัลป์ตินันท์,เพื่อไทย,32328,87991,132480,99448
34,อุบลราชธานี,2,นายณรงค์ชัย วีระกุล,ไทรวมพลัง,36198,91206,136569,97134
34,อุบลราชธานี,3,นางพิมพกาญจน์ พลสมัคร,ไทรวมพลัง,43632,86097,139753,93751
34,อุบลราชธานี,4,นางสาวกิตติ์ธัญญา วาจาดี,เพื่อไทย,37794,100779,150321,112955
34,อุบลราชธานี,5,นายสุทธิชัย จรูญเนตร,ภูมิใจไทย,52151,80991,131064,86404
34,อุบลราชธานี,6,นางสาวธัญธารีย์ สันตพันธุ์,เพื่อไทย,33345,78144,132010,83930
34,อุบลราชธานี,7,นางสาวสุดารัตน์ พิทักษ์พรพัลลภ,ภูมิใจไทย,45003,87014,131259,90567
34,อุบลราชธานี,8,นางสาวแนน บุณย์ธิดา สมชัย,ภูมิใจไทย,36651,87156,137335,92164
34,อุบลราชธานี,9,นางจิตรวรรณ หวังศุภกิจโกศล,ไทรวมพลัง,42832,78470,130179,83647
34,อุบลราชธานี,10,นายสมศักดิ์ บุญประชม,ไทรวมพลัง,66909,85556,141083,93234
34,อุบลราชธานี,11,นางสาวตวงทิพย์ จินตะเวช,ภูมิใจไทย,58379,80032,135277,85958
35,ยโสธร,1,นางสุภาพร สลับศรี,ภูมิใจไทย,49334,100743,144704,105736
35,ยโสธร,2,นายวรายุทธ จงอักษร,ภูมิใจไทย,51233,90902,141191,94115
35,ยโสธร,3,นายธนพัฒน์ ศรีชนะ,ภูมิใจไทย,44970,93914,146753,99570
36,ชัยภูมิ,1,นายโอซิษฐ์ เกียรติก้องชูชัย,เพื่อไทย,40748,81673,129541,88777
36,ชัยภูมิ,2,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,54996,79326,133561,87136
36,ชัยภูมิ,3,นายสัมฤทธิ์ แทนทรัพย์,ภูมิใจไทย,48116,75289,127154,80751
36,ชัยภูมิ,4,นางสาวสุชาดา ซาง แทนทรัพย์,ภูมิใจไทย,36907,72809,121184,76539
36,ชัยภูมิ,5,นายศิวะ พงศ์ธีระดุลย์,เพื่อไทย,29851,85450,132089,89483
36,ชัยภูมิ,6,นายเชวงศักดิ์ เร่งไพบูลย์วงษ์,ภูมิใจไทย,50655,83346,134526,89261
36,ชัยภูมิ,7,นายอัครแสนคีรี โล่ห์วีระ,กล้าธรรม,40833,81542,126889,84732
37,อำนาจเจริญ,1,นางสุขสมรวย วันทนียกุล,ภูมิใจไทย,44199,91024,145524,97677
37,อำนาจเจริญ,2,นางญาญีนาถ เข็มนาค,ภูมิใจไทย,43016,93862,157168,103473
38,บึงกาฬ,1,นายสยาม เพ็งทอง,ภูมิใจไทย,37182,69624,104720,74245
38,บึงกาฬ,2,นายสุริยา แป้นสุขา,ภูมิใจไทย,26482,72072,109327,75005
38,บึงกาฬ,3,นายวิโรจน์ สาระวงศ์,ภูมิใจไทย,34041,70033,118401,76221
39,หนองบัวลำภู,1,นายชยานันท์ เกตุเมฆ,กล้าธรรม,31594,86812,139258,91459
39,หนองบัวลำภู,2,นายรุ่งเพชร ศรีกาญจนา,เพื่อไทย,36663,79482,135971,83652
39,หนองบัวลำภู,3,นายพรณรงค์ นิลนะมะ,กล้าธรรม,26322,77865,133308,82630
40,ขอนแก่น,1,นายวีรนันท์ ฮวดศรี,ประชาชน,35303,83007,128250,91147
40,ขอนแก่น,2,นายอิทธิพล ชลธราศิริ,ประชาชน,41012,96299,138811,105501
40,ขอนแก่น,3,นายเอกชัย สืบสารคาม,กล้าธรรม,30645,84748,132197,90629
40,ขอนแก่น,4,นายรุ่งโรจน์ เย็นสบาย,เพื่อไทย,40255,90702,130877,95728
40,ขอนแก่น,5,นายปราชญา หงอกชัย,กล้าธรรม,36120,81109,131801,85145
40,ขอนแก่น,6,นายวิศรุต ปู่เพิ่ง,ภูมิใจไทย,43246,79916,129906,86154
40,ขอนแก่น,7,นายสุรพจน์ เตาะเจริญสุข,เพื่อไทย,32796,83207,132364,90247
40,ขอนแก่น,8,นายธนิก มาสีพิทักษ์,กล้าธรรม,33926,89683,139634,96586
40,ขอนแก่น,9,นายณัฐพล กลุ่มเหรียญทอง,เพื่อไทย,42803,81101,127326,85016
40,ขอนแก่น,10,นายพชรกร อรรณนพพร,ภูมิใจไทย,39396,83757,135110,89102
40,ขอนแก่น,11,นายองอาจ ฉัตรชัยพลรัตน์,ภูมิใจไทย,48810,76313,131498,82562
41,อุดรธานี,1,นายอานันท์ อมรินทร์,ประชาชน,30558,76456,127011,84507
41,อุดรธานี,2,นางหทัยรัตน์ เพชรพนมพร,เพื่อไทย,29377,82554,130457,89477
41,อุดรธานี,3,นายหรั่ง ธุระพล,ภูมิใจไทย,33013,75808,125833,79803
41,อุดรธานี,4,นายไตรภพ คำเพชร,เพื่อไทย,29757,70876,126481,74870
41,อุดรธานี,5,นางบัวเงิน รอดขันเมือง,ภูมิใจไทย,28475,69548,123472,73659
41,อุดรธานี,6,นายอดิศักดิ์ แก้วมุงคุณทรัพย์,ภูมิใจไทย,36722,77405,126378,80892
41,อุดรธานี,7,นายสุริยา วงศ์อารีย์,ประชาชน,28786,71025,128249,77512
41,อุดรธานี,8,นายสุภีรภัทร ภูมิภักดิ์,ภูมิใจไทย,38137,71066,122656,76246
41,อุดรธานี,9,นายวัชระพล ขาวขำ,เพื่อไทย,29522,73427,124798,80810
41,อุดรธานี,10,นางเทียบจุฑา ขาวขำ,เพื่อไทย,31589,72317,122907,79295
42,เลย,1,นายเลิศศักดิ์ พัฒนชัยกุล,เพื่อไทย,42730,85064,125704,93879
42,เลย,2,นายศรัณย์ ทิมสุวรรณ,เพื่อไทย,27956,72730,132976,83494
42,เลย,3,นายธนยศ ทิมสุวรรณ,ภูมิใจไทย,51525,83065,126135,91957
42,เลย,4,นายสมเจตน์ แสงเจริญรัตน์,เพื่อไทย,30145,74118,123919,85019
43,หนองคาย,1,นายกระแสร์ ตระกูลพรพงศ์,พลังประชารัฐ,30866,88967,139496,95511
43,หนองคาย,2,นายยุทธนา ศรีตะบุตร,พลังประชารัฐ,30322,81218,136455,85701
43,หนองคาย,3,นายศักดิ์ดา จันทรสุวรรณ,ภูมิใจไทย,36917,78176,137314,87064
44,มหาสารคาม,1,นายฤทธิรงค์ ภูมิสวัสดิ์,ภูมิใจไทย,32493,84916,129888,90569
44,มหาสารคาม,2,นายประวัติ ทองสมบูรณ์,ภูมิใจไทย,32203,78715,128380,82745
44,มหาสารคาม,3,นายลัทธชัย โชคชัยวัฒนากร,ภูมิใจไทย,39612,84786,130076,87676
44,มหาสารคาม,4,นายวิเชียร จงชูวณิชย์,ภูมิใจไทย,30843,80681,125931,84945
44,มหาสารคาม,5,นายจิรวัฒน์ ศิริพานิชย์,เพื่อไทย,36149,77618,132454,84701
44,มหาสารคาม,6,นางคมคาย อุดรพิมพ์,ภูมิใจไทย,38939,87058,128307,91663
45,ร้อยเอ็ด,1,นายอนุรักษ์ จุรีมาศ,ภูมิใจไทย,50238,89385,126135,94576
45,ร้อยเอ็ด,2,นายเอกรัฐ พลชื่อ,กล้าธรรม,43764,86974,136681,91762
45,ร้อยเอ็ด,3,นางรัชนี พลชื่อ,กล้าธรรม,35999,81733,132880,85667
45,ร้อยเอ็ด,4,นายศุภศิษย์ กอเจริญยศ,เพื่อไทย,22302,80404,129528,83975
45,ร้อยเอ็ด,5,นางสาวจิราพร สินธุไพร,เพื่อไทย,43787,72043,133199,79956
45,ร้อยเอ็ด,6,นายทองลี มีหินกอง,เพื่อไทย,33696,76554,130130,81281
45,ร้อยเอ็ด,7,นายชัชวาล แพทยาไทย,ไทยสร้างไทย,44414,81314,134383,84922
45,ร้อยเอ็ด,8,นางสาวชญาภา สินธุไพร,เพื่อไทย,26860,85433,131264,89205
46,กาฬสินธุ์,1,นายวิรัช พิมพะนิตย์,เพื่อไทย,35888,83744,131445,90137
46,กาฬสินธุ์,2,นายพลากร พิมพะนิตย์,เพื่อไทย,43696,76321,126190,82224
46,กาฬสินธุ์,3,นายจำลอง ภูนวนทา,กล้าธรรม,27385,78033,124253,82445
46,กาฬสินธุ์,4,นายณัฐวัชต์ พิมพะนิตย์,เพื่อไทย,35782,85649,136385,90104
46,กาฬสินธุ์,5,นางสาวบุญญาภา นาชัยเวียง ปุณณนิฏฐา,ภูมิใจไทย,48271,89758,137299,93903
46,กาฬสินธุ์,6,นายชนะวุธ อุทโท,เพื่อไทย,59665,91466,135642,95812
47,สกลนคร,1,นายสิรภพ สมผล,กล้าธรรม,27337,90090,133562,96161
47,Sakon Nakhon,2,นายชาตรี หล้าพรหม,กล้าธรรม,25737,83880,131918,88996
47,สกลนคร,3,นางสาวจิรัชยา สัพโส,เพื่อไทย,48088,78470,133998,86140
47,สกลนคร,4,นายพัฒนา สัพโส,เพื่อไทย,29887,75903,132760,83327
47,สกลนคร,5,นางสาววงศ์อะเกื้อ บุญศล,กล้าธรรม,27906,79654,129748,83538
47,สกลนคร,6,นายบรม เอ่งฉ้วน,ภูมิใจไทย,34892,75062,130058,80511
47,สกลนคร,7,นายอิสรพงษ์ อุประ,เพื่อไทย,23571,71830,131938,76157
48,นครพนม,1,นางสาวศุภพานี โพธิ์สุ,ภูมิใจไทย,61803,94537,143576,98499
48,นครพนม,2,นางมนพร เจริญศรี,เพื่อไทย,51176,85967,143097,94215
48,นครพนม,3,นายอลงกต มณีกาศ,ภูมิใจไทย,37134,88863,142454,94066
48,นครพนม,4,นายชาญชัย คำจำปา,เพื่อไทย,41312,92181,144802,96215
49,มุกดาหาร,1,นายวิริยะ ทองผา,ภูมิใจไทย,31342,98985,141889,104804
49,มุกดาหาร,2,นายเลขาดำไตรสรณคมน์ หนองเรือง,กล้าธรรม,42393,94225,138474,100884
50,เชียงใหม่,1,นางสาวเพชรรัตน์ ใหม่ชมภู,ประชาชน,47840,93695,137824,103006
50,เชียงใหม่,2,นางสาวการณิก จันทดา,ประชาชน,51532,101324,143760,113528
50,เชียงใหม่,3,นายณัฐพล โตวิจักษณ์ชัยกุล,ประชาชน,49235,99756,139221,111503
50,เชียงใหม่,4,นางสาวพุธิตา ชัยอนันต์,ประชาชน,49641,105843,144891,115490
50,เชียงใหม่,5,นายสมชิด กันธะยา,ประชาชน,39120,91933,133210,102641
50,เชียงใหม่,6,นางสาวสุภานันท์ ปัญญาทิพย์,กล้าธรรม,33043,81574,127678,91404
50,เชียงใหม่,7,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,33492,90578,133190,98463
50,เชียงใหม่,8,นายภัทรพงษ์ ลีลาภัทร์,ประชาชน,57851,106179,141156,116389
50,เชียงใหม่,9,นายนเรศ ธำรงค์ทิพยคุณ,กล้าธรรม,43388,96198,126132,105624
50,เชียงใหม่,10,นายนรพล ตันติมนตรี,กล้าธรรม,34102,80699,121655,91752
51,ลำพูน,1,นายวิทวิสิทธิ์ ปันสวนปลูก,ประชาชน,66093,125326,170916,140617
51,ลำพูน,2,นายชัชพีร์ วรรณาพิรัชย์,ประชาชน,49316,116879,162313,131679
52,ลำปาง,1,นางทิพา ปวีณาเสถียร,ประชาชน,47614,98457,146327,112100
52,ลำปาง,2,นายดาชัย เอกปฐพี,กล้าธรรม,35828,98377,150942,111667
52,ลำปาง,3,นายชลธานี เชื้อน้อย,ประชาชน,41016,100661,147051,112970
52,ลำปาง,4,นางสาวเพ็ญภัค รัตนคำฟู,กล้าธรรม,38171,104442,157730,115740
53,อุตรดิตถ์,1,นายพิชญุตม์ พอจิต,ภูมิใจไทย,37418,80546,118176,87587
53,อุตรดิตถ์,2,นางสาวรสรินทร์ ศรัณย์เกตุ,โอกาสใหม่,31560,74992,125051,83114
53,อุตรดิตถ์,3,นายรวี เล็กอุทัย,เพื่อไทย,40926,74882,123483,84565
54,แพร่,1,นางสาวชนกนันท์ ศุภศิริ,ภูมิใจไทย,40738,92581,122115,98225
54,แพร่,2,นายชนาธิป ศุภศิริ,ภูมิใจไทย,54734,83283,116303,88953
54,แพร่,3,นางสาวลักษณารีย์ ดวงตาดำ,ประชาชน,23987,73590,121732,84246
55,น่าน,2,นายประสิทธิ์ โนทะ,กล้าธรรม,38228,90486,129540,98561
55,น่าน,3,นายเจริญ อภิภัทรโกศล,ประชาชน,26189,79242,119751,89542
